case_name,model_name,metric_name,val,latency
UCR-154,LOF,Reduced-F1,0.008695652173913044,15.49468096345663
UCR-154,LOF,R-based F1,0.018685551000124243,43.03905274719
UCR-154,LOF,eTaPR,0.0,59.80217410251498
UCR-154,LOF,Aff-F1,0.62651600351622,26.762142777442932
UCR-154,LOF,UAff-F1,-0.2148916181929168,98.1037700548768
UCR-154,LOF,AUC-ROC,0.6856455091356599,4.346332047134638
UCR-154,LOF,VUS-ROC,0.75454634500554,1230.7106438092887
UCR-155,LOF,CCE,-0.001618349185698309,6.125517655164003
UCR-155,LOF,F1,0.009022556390977444,4.741992335766554
UCR-155,LOF,F1-PA,0.19618528610354224,10.780078824609518
UCR-155,LOF,Reduced-F1,0.010067114093959731,13.773573096841574
UCR-155,LOF,R-based F1,0.012340073185715431,35.92545399442315
UCR-155,LOF,eTaPR,0.0,52.086742129176855
UCR-155,LOF,Aff-F1,0.6022425433154726,22.034648805856705
UCR-155,LOF,UAff-F1,-0.19557037423183907,80.35676227882504
UCR-155,LOF,AUC-ROC,0.5596118981364365,3.7894733250141144
UCR-155,LOF,VUS-ROC,0.7575559702894374,1140.2551378123462
UCR-123,IForest,CCE,0.2311081039864326,95.54973291233182
UCR-123,IForest,F1,0.0191044776119403,82.41489110514522
UCR-123,IForest,F1-PA,0.058513750731421885,188.6694198474288
UCR-123,IForest,Reduced-F1,0.0010347682119205299,239.49703993275762
UCR-123,IForest,R-based F1,0.0037793103448275868,541.6833688504994
UCR-123,IForest,eTaPR,0.011899292189799475,721.9350896775723
UCR-123,IForest,Aff-F1,0.8480773692884103,250.50368392840028
UCR-123,IForest,UAff-F1,0.6417625054034621,259.7140893340111
UCR-123,IForest,AUC-ROC,0.8477704160246533,60.32981025055051
UCR-123,IForest,VUS-ROC,0.8700348029919777,18739.605603273958
UCR-123,LOF,CCE,0.028378744728669525,98.84595824405551
UCR-123,LOF,F1,0.015958178566515338,83.38030008599162
UCR-123,LOF,F1-PA,0.07988283850352816,190.31852297484875
UCR-123,LOF,Reduced-F1,0.0014448779078167894,236.2109636887908
UCR-123,LOF,R-based F1,0.006374722751272673,544.5713782683015
UCR-123,LOF,eTaPR,0.00869814971500888,770.3377129510045
UCR-123,LOF,Aff-F1,0.7199727057508407,313.7684389948845
UCR-123,LOF,UAff-F1,0.2212377436315783,1220.441299956292
UCR-123,LOF,AUC-ROC,0.5753410032528676,47.69277200102806
UCR-123,LOF,VUS-ROC,0.5846249626552825,18786.141985096037
UCR-124,LOF,CCE,-3.537732957015205e-05,12.050759047269821
UCR-124,LOF,F1,0.020512820512820513,8.833433035761118
UCR-124,LOF,F1-PA,0.411522633744856,20.564569160342216
UCR-124,LOF,Reduced-F1,0.013793103448275862,26.478454936295748
UCR-124,LOF,R-based F1,0.00974985116874656,66.52504298835993
UCR-124,LOF,eTaPR,0.0,93.88683410361409
UCR-124,LOF,Aff-F1,0.6670832952842266,36.27480799332261
UCR-124,LOF,UAff-F1,-0.004371399049085517,152.61563519015908
UCR-124,LOF,AUC-ROC,0.5164660282258063,5.339531693607569
UCR-124,LOF,VUS-ROC,0.5262679184000126,1511.184603907168
UCR-125,LOF,CCE,-6.4558175058127e-05,11.77704194560647
UCR-125,LOF,F1,0.02318840579710145,8.794927969574928
UCR-125,LOF,F1-PA,0.2557544757033248,20.71469323709607
UCR-125,LOF,Reduced-F1,0.013559322033898305,26.67931793257594
UCR-125,LOF,R-based F1,0.009836892550865983,67.16647418215871
UCR-125,LOF,eTaPR,0.0,93.33767602220178
UCR-125,LOF,Aff-F1,0.6719739116156886,37.61128010228276
UCR-125,LOF,UAff-F1,0.060308097445108184,151.1625968851149
UCR-125,LOF,AUC-ROC,0.5372008032128515,5.144307855516672
UCR-125,LOF,VUS-ROC,0.5403888970132578,1479.955289978534
UCR-126,LOF,CCE,-0.0009386589252025346,10.799798648804426
UCR-126,LOF,F1,0.016666666666666666,7.996388711035252
UCR-126,LOF,F1-PA,0.2457002457002457,18.491779919713736
UCR-126,LOF,Reduced-F1,0.012861736334405145,23.893772158771753
UCR-126,LOF,R-based F1,0.010871395242561994,59.06434915959835
UCR-126,LOF,eTaPR,0.0,84.32662114501
UCR-126,LOF,Aff-F1,0.6765842688361257,31.62131132557988
UCR-126,LOF,UAff-F1,0.021500349622192393,133.07930016890168
UCR-126,LOF,AUC-ROC,0.522257305936073,4.8842718824744225
UCR-126,LOF,VUS-ROC,0.5249867186077095,1370.545320212841
UCR-152,LOF,CCE,0.005444186064896578,10.00415999442339
UCR-152,LOF,F1,0.03384841795437822,7.553743198513985
UCR-152,LOF,F1-PA,0.4019138755980861,18.271534703671932
UCR-152,LOF,Reduced-F1,0.009900990099009901,22.730831988155842
UCR-152,LOF,R-based F1,0.0498347109849358,60.15799008309841
UCR-152,LOF,eTaPR,0.0,85.84077004343271
UCR-152,LOF,Aff-F1,0.6167299896781689,35.23489227518439
UCR-152,LOF,UAff-F1,-0.20245625553222768,132.7350870706141
UCR-152,LOF,AUC-ROC,0.6811223251135851,5.266678985208273
UCR-152,LOF,VUS-ROC,0.746986308004085,1349.338164087385
UCR-153,LOF,CCE,-0.014717546189387504,7.652428932487965
UCR-153,LOF,F1,0.0,5.8779241517186165
UCR-153,LOF,F1-PA,0.0,13.636833988130093
UCR-153,LOF,Reduced-F1,0.0,17.285184003412724
UCR-153,LOF,R-based F1,0.0,48.38603315874934
UCR-153,LOF,eTaPR,0.0,64.98100096359849
UCR-153,LOF,Aff-F1,0.6246696139975416,27.417629025876522
UCR-153,LOF,UAff-F1,-0.12322132176638237,101.7580353654921
UCR-153,LOF,AUC-ROC,0.4506987705064258,4.133882001042366
UCR-153,LOF,VUS-ROC,0.486493803030123,1262.9403318278491
UCR-154,LOF,CCE,0.026335669285229846,7.361007854342461
UCR-154,LOF,F1,0.01834862385321101,5.587972700595856
UCR-154,LOF,F1-PA,0.17391304347826086,12.93926127254963
UCR-154,LOF,Reduced-F1,0.008695652173913044,15.49468096345663
UCR-154,LOF,R-based F1,0.018685551000124243,43.03905274719
UCR-154,LOF,eTaPR,0.0,59.80217410251498
UCR-154,LOF,Aff-F1,0.62651600351622,26.762142777442932
UCR-154,LOF,UAff-F1,-0.2148916181929168,98.1037700548768
UCR-154,LOF,AUC-ROC,0.6856455091356599,4.346332047134638
UCR-154,LOF,VUS-ROC,0.75454634500554,1230.7106438092887
UCR-155,LOF,CCE,-0.001618349185698309,6.125517655164003
UCR-155,LOF,F1,0.009022556390977444,4.741992335766554
UCR-155,LOF,F1-PA,0.19618528610354224,10.780078824609518
UCR-155,LOF,Reduced-F1,0.010067114093959731,13.773573096841574
UCR-155,LOF,R-based F1,0.012340073185715431,35.92545399442315
UCR-155,LOF,eTaPR,0.0,52.086742129176855
UCR-155,LOF,Aff-F1,0.6022425433154726,22.034648805856705
UCR-155,LOF,UAff-F1,-0.19557037423183907,80.35676227882504
UCR-155,LOF,AUC-ROC,0.5596118981364365,3.7894733250141144
UCR-155,LOF,VUS-ROC,0.7575559702894374,1140.2551378123462
UCR-123,IForest,CCE,0.2311081039864326,95.54973291233182
UCR-123,IForest,F1,0.0191044776119403,82.41489110514522
UCR-123,IForest,F1-PA,0.058513750731421885,188.6694198474288
UCR-123,IForest,Reduced-F1,0.0010347682119205299,239.49703993275762
UCR-123,IForest,R-based F1,0.0037793103448275868,541.6833688504994
UCR-123,IForest,eTaPR,0.011899292189799475,721.9350896775723
UCR-123,IForest,Aff-F1,0.8480773692884103,250.50368392840028
UCR-123,IForest,UAff-F1,0.6417625054034621,259.7140893340111
UCR-123,IForest,AUC-ROC,0.8477704160246533,60.32981025055051
UCR-123,IForest,VUS-ROC,0.8700348029919777,18739.605603273958
UCR-124,IForest,CCE,0.15044732327589702,12.353115249425173
UCR-124,IForest,F1,0.06206896551724138,8.882066234946251
UCR-124,IForest,F1-PA,0.24922118380062305,20.8164369687438
UCR-124,IForest,Reduced-F1,0.006595218466611707,27.412536088377237
UCR-124,IForest,R-based F1,0.036040651674936496,68.54951288551092
UCR-124,IForest,eTaPR,0.05034086433143813,95.3753893263638
UCR-124,IForest,Aff-F1,0.7081625061612951,36.00601898506284
UCR-124,IForest,UAff-F1,0.17063726304134447,37.36174525693059
UCR-124,IForest,AUC-ROC,0.7052122983870969,6.7651541903615
UCR-124,IForest,VUS-ROC,0.7755948148015199,1436.9653980247676
UCR-123,LOF,CCE,0.028378744728669525,98.84595824405551
UCR-123,LOF,F1,0.015958178566515338,83.38030008599162
UCR-123,LOF,F1-PA,0.07988283850352816,190.31852297484875
UCR-123,LOF,Reduced-F1,0.0014448779078167894,236.2109636887908
UCR-123,LOF,R-based F1,0.006374722751272673,544.5713782683015
UCR-123,LOF,eTaPR,0.00869814971500888,770.3377129510045
UCR-123,LOF,Aff-F1,0.7199727057508407,313.7684389948845
UCR-123,LOF,UAff-F1,0.2212377436315783,1220.441299956292
UCR-123,LOF,AUC-ROC,0.5753410032528676,47.69277200102806
UCR-123,LOF,VUS-ROC,0.5846249626552825,18786.141985096037
UCR-124,LOF,CCE,-3.537732957015205e-05,12.050759047269821
UCR-124,LOF,F1,0.020512820512820513,8.833433035761118
UCR-124,LOF,F1-PA,0.411522633744856,20.564569160342216
UCR-124,LOF,Reduced-F1,0.013793103448275862,26.478454936295748
UCR-124,LOF,R-based F1,0.00974985116874656,66.52504298835993
UCR-124,LOF,eTaPR,0.0,93.88683410361409
UCR-124,LOF,Aff-F1,0.6670832952842266,36.27480799332261
UCR-124,LOF,UAff-F1,-0.004371399049085517,152.61563519015908
UCR-124,LOF,AUC-ROC,0.5164660282258063,5.339531693607569
UCR-124,LOF,VUS-ROC,0.5262679184000126,1511.184603907168
UCR-125,LOF,CCE,-6.4558175058127e-05,11.77704194560647
UCR-125,LOF,F1,0.02318840579710145,8.794927969574928
UCR-125,LOF,F1-PA,0.2557544757033248,20.71469323709607
UCR-125,LOF,Reduced-F1,0.013559322033898305,26.67931793257594
UCR-125,LOF,R-based F1,0.009836892550865983,67.16647418215871
UCR-125,LOF,eTaPR,0.0,93.33767602220178
UCR-125,LOF,Aff-F1,0.6719739116156886,37.61128010228276
UCR-125,LOF,UAff-F1,0.060308097445108184,151.1625968851149
UCR-125,LOF,AUC-ROC,0.5372008032128515,5.144307855516672
UCR-125,LOF,VUS-ROC,0.5403888970132578,1479.955289978534
UCR-126,LOF,CCE,-0.0009386589252025346,10.799798648804426
UCR-126,LOF,F1,0.016666666666666666,7.996388711035252
UCR-126,LOF,F1-PA,0.2457002457002457,18.491779919713736
UCR-126,LOF,Reduced-F1,0.012861736334405145,23.893772158771753
UCR-126,LOF,R-based F1,0.010871395242561994,59.06434915959835
UCR-126,LOF,eTaPR,0.0,84.32662114501
UCR-126,LOF,Aff-F1,0.6765842688361257,31.62131132557988
UCR-126,LOF,UAff-F1,0.021500349622192393,133.07930016890168
UCR-126,LOF,AUC-ROC,0.522257305936073,4.8842718824744225
UCR-126,LOF,VUS-ROC,0.5249867186077095,1370.545320212841
UCR-152,LOF,CCE,0.005444186064896578,10.00415999442339
UCR-152,LOF,F1,0.03384841795437822,7.553743198513985
UCR-152,LOF,F1-PA,0.4019138755980861,18.271534703671932
UCR-152,LOF,Reduced-F1,0.009900990099009901,22.730831988155842
UCR-152,LOF,R-based F1,0.0498347109849358,60.15799008309841
UCR-152,LOF,eTaPR,0.0,85.84077004343271
UCR-152,LOF,Aff-F1,0.6167299896781689,35.23489227518439
UCR-152,LOF,UAff-F1,-0.20245625553222768,132.7350870706141
UCR-152,LOF,AUC-ROC,0.6811223251135851,5.266678985208273
UCR-152,LOF,VUS-ROC,0.746986308004085,1349.338164087385
UCR-153,LOF,CCE,-0.014717546189387504,7.652428932487965
UCR-153,LOF,F1,0.0,5.8779241517186165
UCR-153,LOF,F1-PA,0.0,13.636833988130093
UCR-153,LOF,Reduced-F1,0.0,17.285184003412724
UCR-153,LOF,R-based F1,0.0,48.38603315874934
UCR-153,LOF,eTaPR,0.0,64.98100096359849
UCR-153,LOF,Aff-F1,0.6246696139975416,27.417629025876522
UCR-153,LOF,UAff-F1,-0.12322132176638237,101.7580353654921
UCR-153,LOF,AUC-ROC,0.4506987705064258,4.133882001042366
UCR-153,LOF,VUS-ROC,0.486493803030123,1262.9403318278491
UCR-154,LOF,CCE,0.026335669285229846,7.361007854342461
UCR-154,LOF,F1,0.01834862385321101,5.587972700595856
UCR-154,LOF,F1-PA,0.17391304347826086,12.93926127254963
UCR-154,LOF,Reduced-F1,0.008695652173913044,15.49468096345663
UCR-154,LOF,R-based F1,0.018685551000124243,43.03905274719
UCR-154,LOF,eTaPR,0.0,59.80217410251498
UCR-154,LOF,Aff-F1,0.62651600351622,26.762142777442932
UCR-154,LOF,UAff-F1,-0.2148916181929168,98.1037700548768
UCR-154,LOF,AUC-ROC,0.6856455091356599,4.346332047134638
UCR-154,LOF,VUS-ROC,0.75454634500554,1230.7106438092887
UCR-155,LOF,CCE,-0.001618349185698309,6.125517655164003
UCR-155,LOF,F1,0.009022556390977444,4.741992335766554
UCR-155,LOF,F1-PA,0.19618528610354224,10.780078824609518
UCR-155,LOF,Reduced-F1,0.010067114093959731,13.773573096841574
UCR-155,LOF,R-based F1,0.012340073185715431,35.92545399442315
UCR-155,LOF,eTaPR,0.0,52.086742129176855
UCR-155,LOF,Aff-F1,0.6022425433154726,22.034648805856705
UCR-155,LOF,UAff-F1,-0.19557037423183907,80.35676227882504
UCR-155,LOF,AUC-ROC,0.5596118981364365,3.7894733250141144
UCR-155,LOF,VUS-ROC,0.7575559702894374,1140.2551378123462
UCR-123,IForest,CCE,0.2311081039864326,95.54973291233182
UCR-123,IForest,F1,0.0191044776119403,82.41489110514522
UCR-123,IForest,F1-PA,0.058513750731421885,188.6694198474288
UCR-123,IForest,Reduced-F1,0.0010347682119205299,239.49703993275762
UCR-123,IForest,R-based F1,0.0037793103448275868,541.6833688504994
UCR-123,IForest,eTaPR,0.011899292189799475,721.9350896775723
UCR-123,IForest,Aff-F1,0.8480773692884103,250.50368392840028
UCR-123,IForest,UAff-F1,0.6417625054034621,259.7140893340111
UCR-123,IForest,AUC-ROC,0.8477704160246533,60.32981025055051
UCR-123,IForest,VUS-ROC,0.8700348029919777,18739.605603273958
UCR-124,IForest,CCE,0.15044732327589702,12.353115249425173
UCR-124,IForest,F1,0.06206896551724138,8.882066234946251
UCR-124,IForest,F1-PA,0.24922118380062305,20.8164369687438
UCR-124,IForest,Reduced-F1,0.006595218466611707,27.412536088377237
UCR-124,IForest,R-based F1,0.036040651674936496,68.54951288551092
UCR-124,IForest,eTaPR,0.05034086433143813,95.3753893263638
UCR-124,IForest,Aff-F1,0.7081625061612951,36.00601898506284
UCR-124,IForest,UAff-F1,0.17063726304134447,37.36174525693059
UCR-124,IForest,AUC-ROC,0.7052122983870969,6.7651541903615
UCR-124,IForest,VUS-ROC,0.7755948148015199,1436.9653980247676
UCR-125,IForest,CCE,0.22304301267614499,12.026675045490265
UCR-125,IForest,F1,0.047407407407407405,8.773435838520527
UCR-125,IForest,F1-PA,0.14104372355430184,22.103322204202414
UCR-125,IForest,Reduced-F1,0.0065252854812398045,27.715110685676336
UCR-125,IForest,R-based F1,0.027937275740470207,70.11116575449705
UCR-125,IForest,eTaPR,0.03473613640751011,93.81640376523137
UCR-125,IForest,Aff-F1,0.6976642813256981,35.406592302024364
UCR-125,IForest,UAff-F1,0.16390835557777558,36.810402758419514
UCR-125,IForest,AUC-ROC,0.8067337349397591,6.706515792757273
UCR-125,IForest,VUS-ROC,0.827386728325117,1454.4220897369087
UCR-123,LOF,CCE,0.028378744728669525,98.84595824405551
UCR-123,LOF,F1,0.015958178566515338,83.38030008599162
UCR-123,LOF,F1-PA,0.07988283850352816,190.31852297484875
UCR-123,LOF,Reduced-F1,0.0014448779078167894,236.2109636887908
UCR-123,LOF,R-based F1,0.006374722751272673,544.5713782683015
UCR-123,LOF,eTaPR,0.00869814971500888,770.3377129510045
UCR-123,LOF,Aff-F1,0.7199727057508407,313.7684389948845
UCR-123,LOF,UAff-F1,0.2212377436315783,1220.441299956292
UCR-123,LOF,AUC-ROC,0.5753410032528676,47.69277200102806
UCR-123,LOF,VUS-ROC,0.5846249626552825,18786.141985096037
UCR-124,LOF,CCE,-3.537732957015205e-05,12.050759047269821
UCR-124,LOF,F1,0.020512820512820513,8.833433035761118
UCR-124,LOF,F1-PA,0.411522633744856,20.564569160342216
UCR-124,LOF,Reduced-F1,0.013793103448275862,26.478454936295748
UCR-124,LOF,R-based F1,0.00974985116874656,66.52504298835993
UCR-124,LOF,eTaPR,0.0,93.88683410361409
UCR-124,LOF,Aff-F1,0.6670832952842266,36.27480799332261
UCR-124,LOF,UAff-F1,-0.004371399049085517,152.61563519015908
UCR-124,LOF,AUC-ROC,0.5164660282258063,5.339531693607569
UCR-124,LOF,VUS-ROC,0.5262679184000126,1511.184603907168
UCR-125,LOF,CCE,-6.4558175058127e-05,11.77704194560647
UCR-125,LOF,F1,0.02318840579710145,8.794927969574928
UCR-125,LOF,F1-PA,0.2557544757033248,20.71469323709607
UCR-125,LOF,Reduced-F1,0.013559322033898305,26.67931793257594
UCR-125,LOF,R-based F1,0.009836892550865983,67.16647418215871
UCR-125,LOF,eTaPR,0.0,93.33767602220178
UCR-125,LOF,Aff-F1,0.6719739116156886,37.61128010228276
UCR-125,LOF,UAff-F1,0.060308097445108184,151.1625968851149
UCR-125,LOF,AUC-ROC,0.5372008032128515,5.144307855516672
UCR-125,LOF,VUS-ROC,0.5403888970132578,1479.955289978534
UCR-126,LOF,CCE,-0.0009386589252025346,10.799798648804426
UCR-126,LOF,F1,0.016666666666666666,7.996388711035252
UCR-126,LOF,F1-PA,0.2457002457002457,18.491779919713736
UCR-126,LOF,Reduced-F1,0.012861736334405145,23.893772158771753
UCR-126,LOF,R-based F1,0.010871395242561994,59.06434915959835
UCR-126,LOF,eTaPR,0.0,84.32662114501
UCR-126,LOF,Aff-F1,0.6765842688361257,31.62131132557988
UCR-126,LOF,UAff-F1,0.021500349622192393,133.07930016890168
UCR-126,LOF,AUC-ROC,0.522257305936073,4.8842718824744225
UCR-126,LOF,VUS-ROC,0.5249867186077095,1370.545320212841
UCR-152,LOF,CCE,0.005444186064896578,10.00415999442339
UCR-152,LOF,F1,0.03384841795437822,7.553743198513985
UCR-152,LOF,F1-PA,0.4019138755980861,18.271534703671932
UCR-152,LOF,Reduced-F1,0.009900990099009901,22.730831988155842
UCR-152,LOF,R-based F1,0.0498347109849358,60.15799008309841
UCR-152,LOF,eTaPR,0.0,85.84077004343271
UCR-152,LOF,Aff-F1,0.6167299896781689,35.23489227518439
UCR-152,LOF,UAff-F1,-0.20245625553222768,132.7350870706141
UCR-152,LOF,AUC-ROC,0.6811223251135851,5.266678985208273
UCR-152,LOF,VUS-ROC,0.746986308004085,1349.338164087385
UCR-153,LOF,CCE,-0.014717546189387504,7.652428932487965
UCR-153,LOF,F1,0.0,5.8779241517186165
UCR-153,LOF,F1-PA,0.0,13.636833988130093
UCR-153,LOF,Reduced-F1,0.0,17.285184003412724
UCR-153,LOF,R-based F1,0.0,48.38603315874934
UCR-153,LOF,eTaPR,0.0,64.98100096359849
UCR-153,LOF,Aff-F1,0.6246696139975416,27.417629025876522
UCR-153,LOF,UAff-F1,-0.12322132176638237,101.7580353654921
UCR-153,LOF,AUC-ROC,0.4506987705064258,4.133882001042366
UCR-153,LOF,VUS-ROC,0.486493803030123,1262.9403318278491
UCR-154,LOF,CCE,0.026335669285229846,7.361007854342461
UCR-154,LOF,F1,0.01834862385321101,5.587972700595856
UCR-154,LOF,F1-PA,0.17391304347826086,12.93926127254963
UCR-154,LOF,Reduced-F1,0.008695652173913044,15.49468096345663
UCR-154,LOF,R-based F1,0.018685551000124243,43.03905274719
UCR-154,LOF,eTaPR,0.0,59.80217410251498
UCR-154,LOF,Aff-F1,0.62651600351622,26.762142777442932
UCR-154,LOF,UAff-F1,-0.2148916181929168,98.1037700548768
UCR-154,LOF,AUC-ROC,0.6856455091356599,4.346332047134638
UCR-154,LOF,VUS-ROC,0.75454634500554,1230.7106438092887
UCR-155,LOF,CCE,-0.001618349185698309,6.125517655164003
UCR-155,LOF,F1,0.009022556390977444,4.741992335766554
UCR-155,LOF,F1-PA,0.19618528610354224,10.780078824609518
UCR-155,LOF,Reduced-F1,0.010067114093959731,13.773573096841574
UCR-155,LOF,R-based F1,0.012340073185715431,35.92545399442315
UCR-155,LOF,eTaPR,0.0,52.086742129176855
UCR-155,LOF,Aff-F1,0.6022425433154726,22.034648805856705
UCR-155,LOF,UAff-F1,-0.19557037423183907,80.35676227882504
UCR-155,LOF,AUC-ROC,0.5596118981364365,3.7894733250141144
UCR-155,LOF,VUS-ROC,0.7575559702894374,1140.2551378123462
UCR-123,IForest,CCE,0.2311081039864326,95.54973291233182
UCR-123,IForest,F1,0.0191044776119403,82.41489110514522
UCR-123,IForest,F1-PA,0.058513750731421885,188.6694198474288
UCR-123,IForest,Reduced-F1,0.0010347682119205299,239.49703993275762
UCR-123,IForest,R-based F1,0.0037793103448275868,541.6833688504994
UCR-123,IForest,eTaPR,0.011899292189799475,721.9350896775723
UCR-123,IForest,Aff-F1,0.8480773692884103,250.50368392840028
UCR-123,IForest,UAff-F1,0.6417625054034621,259.7140893340111
UCR-123,IForest,AUC-ROC,0.8477704160246533,60.32981025055051
UCR-123,IForest,VUS-ROC,0.8700348029919777,18739.605603273958
UCR-124,IForest,CCE,0.15044732327589702,12.353115249425173
UCR-124,IForest,F1,0.06206896551724138,8.882066234946251
UCR-124,IForest,F1-PA,0.24922118380062305,20.8164369687438
UCR-124,IForest,Reduced-F1,0.006595218466611707,27.412536088377237
UCR-124,IForest,R-based F1,0.036040651674936496,68.54951288551092
UCR-124,IForest,eTaPR,0.05034086433143813,95.3753893263638
UCR-124,IForest,Aff-F1,0.7081625061612951,36.00601898506284
UCR-124,IForest,UAff-F1,0.17063726304134447,37.36174525693059
UCR-124,IForest,AUC-ROC,0.7052122983870969,6.7651541903615
UCR-124,IForest,VUS-ROC,0.7755948148015199,1436.9653980247676
UCR-125,IForest,CCE,0.22304301267614499,12.026675045490265
UCR-125,IForest,F1,0.047407407407407405,8.773435838520527
UCR-125,IForest,F1-PA,0.14104372355430184,22.103322204202414
UCR-125,IForest,Reduced-F1,0.0065252854812398045,27.715110685676336
UCR-125,IForest,R-based F1,0.027937275740470207,70.11116575449705
UCR-125,IForest,eTaPR,0.03473613640751011,93.81640376523137
UCR-125,IForest,Aff-F1,0.6976642813256981,35.406592302024364
UCR-125,IForest,UAff-F1,0.16390835557777558,36.810402758419514
UCR-125,IForest,AUC-ROC,0.8067337349397591,6.706515792757273
UCR-125,IForest,VUS-ROC,0.827386728325117,1454.4220897369087
UCR-126,IForest,CCE,-0.14885297551180623,10.779297910630703
UCR-126,IForest,F1,0.0,7.7888937667012215
UCR-126,IForest,F1-PA,0.0,19.017843063920736
UCR-126,IForest,Reduced-F1,0.0,24.321173783391714
UCR-126,IForest,R-based F1,0.0,59.198147151619196
UCR-126,IForest,eTaPR,0.0,83.8119457475841
UCR-126,IForest,Aff-F1,0.7258205748358454,31.456477008759975
UCR-126,IForest,UAff-F1,0.23915443106982012,32.117628026753664
UCR-126,IForest,AUC-ROC,0.26063972602739727,5.906336009502411
UCR-126,IForest,VUS-ROC,0.3033435761652317,1386.3546918146312
UCR-123,LOF,CCE,0.028378744728669525,98.84595824405551
UCR-123,LOF,F1,0.015958178566515338,83.38030008599162
UCR-123,LOF,F1-PA,0.07988283850352816,190.31852297484875
UCR-123,LOF,Reduced-F1,0.0014448779078167894,236.2109636887908
UCR-123,LOF,R-based F1,0.006374722751272673,544.5713782683015
UCR-123,LOF,eTaPR,0.00869814971500888,770.3377129510045
UCR-123,LOF,Aff-F1,0.7199727057508407,313.7684389948845
UCR-123,LOF,UAff-F1,0.2212377436315783,1220.441299956292
UCR-123,LOF,AUC-ROC,0.5753410032528676,47.69277200102806
UCR-123,LOF,VUS-ROC,0.5846249626552825,18786.141985096037
UCR-124,LOF,CCE,-3.537732957015205e-05,12.050759047269821
UCR-124,LOF,F1,0.020512820512820513,8.833433035761118
UCR-124,LOF,F1-PA,0.411522633744856,20.564569160342216
UCR-124,LOF,Reduced-F1,0.013793103448275862,26.478454936295748
UCR-124,LOF,R-based F1,0.00974985116874656,66.52504298835993
UCR-124,LOF,eTaPR,0.0,93.88683410361409
UCR-124,LOF,Aff-F1,0.6670832952842266,36.27480799332261
UCR-124,LOF,UAff-F1,-0.004371399049085517,152.61563519015908
UCR-124,LOF,AUC-ROC,0.5164660282258063,5.339531693607569
UCR-124,LOF,VUS-ROC,0.5262679184000126,1511.184603907168
UCR-125,LOF,CCE,-6.4558175058127e-05,11.77704194560647
